,DialogRPT/_score/avg,DialogRPT/_score/max,DialogRPT/depth/avg,DialogRPT/depth/max,DialogRPT final (avg),DialogRPT final (best),DialogRPT human vs machine,DialogRPT/human_vs_machine/max,DialogRPT human vs rand,DialogRPT/human_vs_rand/max,DialogRPT updown,DialogRPT/updown/max,DialogRPT/width/avg,DialogRPT/width/max,BERTScore P,BERTScore R,BERTScore F1,Rank,submission_pk,Submitted,User,Participant Submission \#,Phase,Submission ID,Filename,Size (bytes),Status,Leaderboard,Rank Ties
submissions/leaderboard-dev/id_421472,0.3487238773312725,0.7084124088287354,0.7497651747015656,0.9441376328468323,0.35 (2),0.71 (6),0.99 (4),0.9999945163726807,0.98 (1),0.9999998807907104,0.37 (5),0.6682784557342529,0.7741006271760972,0.9706758856773376,0.67 (5),0.71 (1),0.69 (1),1.5,id_421472,13:56:30 01/05/2023,adaezeio,1,1,421472,dev_submission.zip,6866,finished,True,3.2
submissions/leaderboard-dev/id_421071,0.4008520456611133,0.7616448402404785,0.7941064456447227,0.9433159828186035,0.4 (1),0.76 (2),1.0 (1),0.9999945163726807,0.96 (2),0.9999992847442627,0.42 (1),0.754167377948761,0.8003959110525788,0.9576713442802429,0.65 (8),0.7 (3),0.67 (6),3.5,id_421071,09:48:51 01/05/2023,justinray-v,1,1,421071,answer.jsonl.zip,6686,finished,True,3.0
submissions/leaderboard-dev/id_419635,0.33361439973604484,0.7209538221359253,0.7036495203121764,0.9327896237373352,0.33 (5),0.72 (5),0.98 (6),0.9999942779541016,0.95 (3),0.9999997615814209,0.37 (7),0.7264953255653381,0.7368501599450581,0.9619280695915222,0.68 (2),0.69 (5),0.68 (2),3.5,id_419635,17:44:55 30/04/2023,ignacio.sastre,2,1,419635,dev_submission_emb.zip,6220,finished,True,4.6
submissions/leaderboard-dev/id_420443,0.34866612878490666,0.7615147829055786,0.7544577821356351,0.9401510953903198,0.35 (3),0.76 (3),0.99 (3),0.9999951124191284,0.9 (8),0.9999994039535522,0.39 (2),0.8073652386665344,0.7770064382279506,0.9613886475563049,0.67 (4),0.69 (4),0.68 (5),4.0,id_420443,02:10:16 01/05/2023,amino,3,1,420443,answer.zip,6581,finished,True,4.2
submissions/leaderboard-dev/id_412444,0.3310406790160742,0.7227528095245361,0.761371964704795,0.9461628794670105,0.33 (6),0.72 (4),0.99 (2),0.9999948740005493,0.91 (7),0.9999996423721313,0.36 (8),0.6537888646125793,0.7751736561783025,0.9502602815628052,0.67 (6),0.71 (2),0.68 (3),4.5,id_412444,04:25:33 26/04/2023,pykt-team,1,1,412444,answer.jsonl.zip,5801,finished,True,5.0
submissions/leaderboard-dev/id_425099,0.34261216805850875,0.6781765818595886,0.6695491588506542,0.9286826252937317,0.34 (4),0.68 (9),0.98 (8),0.999995231628418,0.93 (5),0.9999994039535522,0.38 (3),0.6953113079071045,0.7064109770978083,0.9542245268821716,0.68 (3),0.65 (7),0.66 (7),5.5,id_425099,14:42:46 05/05/2023,ThHuber,3,1,425099,dev-submission.zip,7885,finished,True,5.2
submissions/leaderboard-dev/id_419820,0.302281066237903,0.678760826587677,0.6410825547624807,0.9166724681854248,0.3 (9),0.68 (8),0.98 (7),0.9999943971633911,0.92 (6),0.9999995231628418,0.35 (10),0.6975274682044983,0.6851288687987406,0.9488715529441833,0.7 (1),0.67 (6),0.68 (4),6.5,id_419820,19:33:23 30/04/2023,alexis.baladon,1,1,419820,dev_submission.zip,6291,finished,True,6.0
submissions/leaderboard-dev/id_421437,0.3285251214856007,0.8147286176681519,0.738244920724728,0.9492071866989136,0.33 (7),0.81 (1),0.95 (10),0.9999940395355225,0.93 (4),0.9999996423721313,0.38 (4),0.7943678498268127,0.777174390241748,0.9721746444702148,0.67 (7),0.65 (8),0.66 (8),7.5,id_421437,13:39:35 01/05/2023,a2un,1,1,421437,answer.zip,6758,finished,True,6.6
submissions/leaderboard-dev/id_420254,0.3144129384247983,0.6953720450401306,0.7216177458157305,0.9271553754806519,0.31 (8),0.7 (7),0.99 (5),0.9999942779541016,0.84 (10),0.9999951124191284,0.37 (6),0.7075777053833008,0.7599536296285567,0.9555914402008057,0.62 (9),0.62 (9),0.62 (9),8.5,id_420254,00:27:18 01/05/2023,rbnjade1,3,1,420254,answer.jsonl.zip,6494,finished,True,7.8
submissions/leaderboard-dev/id_409872,0.29909513431494356,0.6042504906654358,0.6658407600688152,0.9290054440498352,0.3 (10),0.6 (10),0.97 (9),0.9999945163726807,0.88 (9),0.9999983310699463,0.35 (9),0.692432165145874,0.709712851804788,0.9572344422340393,0.0 (10),0.0 (10),0.0 (10),10.0,id_409872,10:03:08 24/04/2023,tanaygahlot,1,1,409872,answer.jsonl.zip,5733,finished,True,9.4
