submission_pk,User,Rank,BERTScore P,BERTScore R,BERTScore F1,DialogRPT updown,DialogRPT human vs rand,DialogRPT human vs machine,DialogRPT final (avg),DialogRPT final (best)
423490,am2448,1.50 (1),0.80 (1),0.79 (2),0.79 (2),0.52 (1),0.86 (8),0.98 (2),0.47 (1),0.75 (2),
426128,justinray-v,1.50 (1),0.77 (6),0.83 (1),0.80 (1),0.48 (2),0.98 (1),1.00 (1),0.46 (2),0.67 (5),
425339,Ya_Hi,4.50 (2),0.80 (3),0.78 (3),0.79 (3),0.40 (6),0.93 (4),0.98 (3),0.36 (6),0.64 (9),
425131,ThHuber,4.50 (2),0.80 (2),0.73 (8),0.76 (5),0.41 (3),0.93 (3),0.95 (10),0.37 (4),0.76 (1),
426093,adaezeio,5.50 (3),0.75 (9),0.73 (6),0.74 (8),0.40 (5),0.97 (2),0.98 (5),0.37 (3),0.65 (7),
424352,ignacio.sastre,6.00 (4),0.77 (4),0.77 (4),0.77 (4),0.37 (8),0.91 (6),0.96 (7),0.34 (8),0.68 (4),
421822,amino,7.00 (5),0.76 (8),0.70 (9),0.73 (9),0.40 (4),0.92 (5),0.98 (4),0.36 (5),0.69 (3),
425348,alexis.baladon,7.00 (5),0.77 (5),0.73 (7),0.75 (7),0.38 (7),0.90 (7),0.96 (9),0.35 (7),0.65 (8),
425399,rbnjade1,7.50 (6),0.77 (7),0.74 (5),0.75 (6),0.36 (9),0.75 (10),0.96 (6),0.29 (9),0.62 (10),
422942,tanaygahlot,10.00 (7),0.69 (10),0.63 (10),0.66 (10),0.32 (10),0.85 (9),0.96 (8),0.29 (10),0.65 (6),
