,System,Team,DialogRPT/_score/avg,DialogRPT/_score/max,DialogRPT/depth/avg,DialogRPT/depth/max,DialogRPT final (avg),DialogRPT final (best),DialogRPT human vs machine,DialogRPT/human_vs_machine/max,DialogRPT human vs rand,DialogRPT/human_vs_rand/max,DialogRPT updown,DialogRPT/updown/max,DialogRPT/width/avg,DialogRPT/width/max,BERTScore P,BERTScore R,BERTScore F1,Rank,submission_pk,Submitted,User,Participant Submission \#,Phase,Submission ID,Filename,Size (bytes),Status,Leaderboard,Rank Ties
submissions/leaderboard/id_426128,NAISTeacher,NAIST,0.46294279363784163,0.6690345406532288,0.8074409037064283,0.9468623995780945,0.46 (2),0.67 (5),1.0 (1),0.9999943971633911,0.98 (1),0.9999996423721313,0.48 (2),0.681238055229187,0.8139026487048292,0.976871907711029,0.71 (9),0.71 (1),0.71 (1),1.5,id_426128,06/05/2023 13:25:15,justinray-v,4,2,426128,submission3.zip,9470,finished,True,2.8
submissions/leaderboard/id_426093,adaio,NBU,0.3715660400934272,0.6508749723434448,0.694777868060402,0.9283432364463806,0.37 (3),0.65 (7),0.98 (5),0.9999954700469971,0.97 (2),0.9999997615814209,0.4 (5),0.6422682404518127,0.7210306789957996,0.9488992094993591,0.72 (4),0.69 (3),0.71 (3),3.0,id_426093,06/05/2023 12:28:47,adaezeio,2,2,426093,eval_submission.zip,9371,finished,True,3.8
submissions/leaderboard/id_423490,GPT-4,Cornell,0.4716589404440625,0.7521131038665771,0.7107536398665809,0.9401201009750366,0.47 (1),0.75 (2),0.98 (2),0.999994158744812,0.86 (8),0.9999995231628418,0.52 (1),0.7635563611984253,0.7254833666942059,0.9486921429634094,0.71 (7),0.69 (2),0.7 (5),3.0,id_423490,23:02:08 03/05/2023,am2448,1,2,423490,test_submission.zip,7506,finished,True,4.0
submissions/leaderboard/id_421822,teacher,aiitis,0.3618724686213029,0.6911869049072266,0.697312899015762,0.9427516460418701,0.36 (5),0.69 (3),0.98 (4),0.999995231628418,0.92 (5),0.9999996423721313,0.4 (4),0.6917866468429565,0.7251158713639437,0.9646992683410645,0.72 (3),0.69 (5),0.7 (4),4.5,id_421822,00:39:41 02/05/2023,amino,4,2,421822,answer.zip,6937,finished,True,4.2
submissions/leaderboard/id_425348,opt2.7-1LineEach,Retuyt-InCo,0.34607755325925654,0.6491439938545227,0.6958564352585282,0.9552285671234131,0.35 (7),0.65 (8),0.96 (9),0.9999932050704956,0.9 (7),0.9999996423721313,0.38 (7),0.635338306427002,0.7083956866692274,0.9508363008499146,0.74 (1),0.68 (6),0.71 (2),4.5,id_425348,05/05/2023 20:19:52,alexis.baladon,2,2,425348,test_submission.zip,8627,finished,True,6.0
submissions/leaderboard/id_425339,GPT-4,Cornell,0.36131549719379935,0.6431607604026794,0.6724599504590908,0.9418380856513977,0.36 (6),0.64 (9),0.98 (3),0.999994158744812,0.93 (4),0.9999997615814209,0.4 (6),0.6602117419242859,0.6959347033347839,0.9443398714065552,0.72 (5),0.69 (4),0.7 (6),6.0,id_425339,05/05/2023 19:52:22,Ya_Hi,3,2,425339,test_submission.zip,8516,finished,True,4.4
submissions/leaderboard/id_425131,bea Task UNTRAINED BEA BERTScore Only Only Response,Data Science - NLP - HSG,0.3665216337248083,0.7627172470092773,0.6020688546118719,0.9432426691055298,0.37 (4),0.76 (1),0.95 (10),0.999994158744812,0.93 (3),0.9999996423721313,0.41 (3),0.7013880014419556,0.6370741965133192,0.9375807642936707,0.72 (6),0.63 (8),0.67 (8),6.0,id_425131,15:05:46 05/05/2023,ThHuber,4,2,425131,test-submission.zip,7978,finished,,6.0
submissions/leaderboard/id_424352,Retuyt-InCo-AlpacaEmb,Retuyt-InCo,0.336053365670936,0.6849147081375122,0.6435710529868419,0.9616231322288513,0.34 (8),0.68 (4),0.96 (7),0.999994158744812,0.91 (6),0.9999997615814209,0.37 (8),0.6960965394973755,0.6674634662521628,0.9512946009635925,0.72 (2),0.68 (7),0.7 (7),7.5,id_424352,18:14:05 04/05/2023,ignacio.sastre,3,2,424352,test_submission.zip,7606,finished,True,6.0
submissions/leaderboard/id_425399,distilgpt2,DT,0.2928505932209474,0.6236737370491028,0.6399764886378368,0.9316462278366089,0.29 (9),0.62 (10),0.96 (6),0.9999945163726807,0.75 (10),0.9999970197677612,0.36 (9),0.6043961048126221,0.6719092291135055,0.9619684219360352,0.67 (10),0.62 (9),0.64 (10),9.5,id_425399,05/05/2023 22:10:24,rbnjade1,4,2,425399,answer.jsonl.zip,8711,finished,True,8.8
submissions/leaderboard/id_422942,TanTanLabs-zero-shot-with-filler,TanTanLabs,0.2875097822193261,0.6519841551780701,0.491316865788493,0.9588024020195007,0.29 (10),0.65 (6),0.96 (8),0.9999940395355225,0.85 (9),0.9999996423721313,0.32 (10),0.6413090825080872,0.5011792926888763,0.9357125759124756,0.71 (8),0.6 (10),0.65 (9),9.5,id_422942,08:24:16 03/05/2023,tanaygahlot,2,2,422942,answer.jsonl.zip,7149,finished,True,9.0
